Nhóm,Kanji,Reading,Nghĩa,Cách dùng,Ví dụ JP,Dịch VI
"ダメージ","ダメージ","Tổn thất, thiệt hại",""
"風潮","ふうちょう","Trào lưu, xu hướng xã hội","Khác với 流行（りゅうこう）: 風潮 là xu hướng lâu dài, 流行 là mốt, thịnh hành ngắn hạn"
"身を包む","みをつつむ","Khoác lên mình (quần áo)",""
"経済的","けいざいてき","Mang tính kinh tế",""
"効率","こうりつ","Hiệu suất, hiệu quả",""
"地形","ちけい","Địa hình",""
"もたらす","もたらす","Mang lại, đem đến",""
"科学技術","かがくぎじゅつ","Khoa học kỹ thuật",""
"急速","きゅうそく","Nhanh chóng",""
"進歩","しんぽ","Tiến bộ",""
"生活","せいかつ","Cuộc sống",""
"変化","へんか","Thay đổi",""
"お土産","おみやげ","Quà lưu niệm",""
"許可","きょか","Sự cho phép",""
"撤回","てっかい","Rút lại, hủy bỏ (phát ngôn/quyết định)","Khác với 取消（とりけし）: 撤回 thường dùng cho phát ngôn, quyết định; 取消 là hủy đơn, hủy đặt phòng..."
"補填","ほてん","Bù đắp, bổ sung (thiếu hụt, thâm hụt)","Khác với 補充（ほじゅう）: 補填 là bù đắp thiếu hụt, 補充 là bổ sung thêm vào"
"空欄","くうらん","Cột trống, chỗ để trống",""
"事項","じこう","Hạng mục, điều khoản",""
"水分","すいぶん","Nước (trong cơ thể, chất lỏng)",""
"赤字","あかじ","Thâm hụt, lỗ (kinh doanh)",""
"収益","しゅうえき","Doanh thu, lợi nhuận",""
"協力","きょうりょく","Hợp tác, giúp đỡ",""
"コンスタント","コンスタント","Đều đặn, liên tục",""
"発売","はつばい","Phát hành, bán ra",""
"感動","かんどう","Cảm động",""
"防犯","ぼうはん","Phòng chống tội phạm",""
"ずばり","ずばり","Thẳng thắn, trực tiếp, đúng trọng tâm",""
"脳裏","のうり","Trong đầu, tâm trí",""
"よみがえる","よみがえる","Sống lại, hồi tưởng lại",""
"続ける","つづける","Tiếp tục",""
"指摘","してき","Chỉ ra, chỉ trích",""
"落ち込む","おちこむ","Buồn bã, suy sụp",""
"机","つくえ","Bàn",""
"引き出し","ひきだし","Ngăn kéo",""
"整理","せいり","Sắp xếp, chỉnh lý",""
"電卓","でんたく","Máy tính bỏ túi",""
"使う","つかう","Sử dụng",""
"機会","きかい","Cơ hội",""
"処分","しょぶん","Xử lý, bỏ đi",""
"わずか","わずか","Chỉ, vỏn vẹn",""
"市長","しちょう","Thị trưởng",""
"相談窓口","そうだんまどぐち","Bộ phận tư vấn",""
"事前","じぜん","Trước (thời gian)",""
"将来","しょうらい","Tương lai",""
"消防士","しょうぼうし","Lính cứu hỏa",""
"実際","じっさい","Thực tế",""
"大臣","だいじん","Bộ trưởng",""
"週刊誌","しゅうかんし","Tạp chí tuần",""
"報道","ほうどう","Đưa tin, báo chí",""
"事実","じじつ","Sự thật",""
"遺憾","いかん","Tiếc nuối, đáng tiếc",""
"さんざん","さんざん","Khủng khiếp, tồi tệ",""
"自転車","じてんしゃ","Xe đạp",""
"パンク","パンク","Bể bánh xe",""
"財布","さいふ","Ví tiền",""
"大雨","おおあめ","Mưa lớn",""
"ずぶぬれ","ずぶぬれ","Ướt sũng",""
"始末","しまつ","Kết quả (tiêu cực), xử lý",""
"最中","さいちゅう","Đang trong lúc",""
"思い","おもい","Cảm xúc, suy nghĩ",""
"限り","かぎり","Giới hạn, hết mức",""
"予選","よせん","Vòng loại",""
"敗退","はいたい","Bị loại",""
"原因","げんいん","Nguyên nhân",""
"実力","じつりょく","Thực lực",""
"エアコン","エアコン","Máy lạnh",""
"故障","こしょう","Hỏng hóc",""
"暑さ","あつさ","Cái nóng",""
"悩まされる","なやまされる","Bị làm phiền, khổ sở",""
"修理","しゅうり","Sửa chữa",""
"低気圧","ていきあつ","Áp suất thấp",""
"発達","はったつ","Phát triển",""
"伴う","ともなう","Kèm theo, kéo theo",""
"西日本","にしにほん","Tây Nhật Bản",""
"風雨","ふうう","Mưa gió",""
"強める","つよめる","Làm mạnh lên",""
"強まる","つよまる","Trở nên mạnh hơn",""
"育児","いくじ","Nuôi dạy trẻ",""
"前後","ぜんご","Xung quanh, trước sau",""
"知りたがる","しりたがる","Muốn biết",""
"周囲","しゅうい","Xung quanh",""
"向き合う","むきあう","Đối mặt, đối diện",""
"通う","かよう","Đi học, đi làm (thường xuyên)",""
"ピアノ教室","ぴあのきょうしつ","Lớp học piano",""
"発表会","はっぴょうかい","Buổi trình diễn, báo cáo",""
"無理はない","むりはない","Không có gì lạ, dễ hiểu",""
"勢い","いきおい","Khí thế, động lực",""
"専門家","せんもんか","Chuyên gia",""
"雌","めす","Con cái (động vật)",""
"産卵","さんらん","Đẻ trứng",""
"控える","ひかえる","Chuẩn bị, kiềm chế, sắp diễn ra",""
"記述式","きじゅつしき","Dạng viết tự luận",""
"アンケート","アンケート","Bảng khảo sát",""
"受講者","じゅこうしゃ","Người tham gia học",""
"選択式","せんたくしき","Dạng lựa chọn",""
"睡眠","すいみん","Giấc ngủ",""
"質","しつ","Chất lượng",""
"枕","まくら","Gối",""
"人工知能","じんこうちのう","Trí tuệ nhân tạo",""
"先端技術","せんたんぎじゅつ","Công nghệ tiên tiến",""
"導入","どうにゅう","Áp dụng, đưa vào",""
"扱う","あつかう","Xử lý, vận hành",""
"人材","じんざい","Nhân lực, nhân tài",""
"確保","かくほ","Đảm bảo, bảo đảm",""
"コスト","コスト","Chi phí",""
"面","めん","Mặt, phương diện",""
"難しさ","むずかしさ","Độ khó, sự khó khăn",""
"脳","のう","Não",""
"心","こころ","Tâm hồn",""
"健康","けんこう","Sức khỏe",""
"規制","きせい","Quy tắc, quy định",""
"共感","きょうかん","Sự đồng cảm",""
"身になる","みになる","Đặt mình vào vị trí (người khác)",""
"刺激","しげき","Sự kích thích",""
"初恋","はつこい","Mối tình đầu",""
"デート","デート","Hẹn hò",""
"緊張","きんちょう","Hồi hộp, căng thẳng",""
"活性化","かっせいか","Kích hoạt, làm sống động",""
"ときめき","ときめき","Rung động, xao xuyến",""
"嫌悪","けんお","Chán ghét, căm ghét",""
"情","じょう","Tình cảm",""
